Date and Hour,Date,StartHour,EndHour,Source,Production,dayOfYear,dayName,monthName
2020-07-22 20:00:00+02:00,22-07-2020,20:00:00,21:00:00,Solar,244,204,Wednesday,July
2020-07-23 07:00:00+02:00,23-07-2020,07:00:00,08:00:00,Solar,223,205,Thursday,July
2020-07-23 16:00:00+02:00,23-07-2020,16:00:00,17:00:00,Solar,2517,205,Thursday,July
2020-07-23 19:00:00+02:00,23-07-2020,19:00:00,20:00:00,Solar,658,205,Thursday,July
2020-07-23 23:00:00+02:00,23-07-2020,23:00:00,24:00:00,Solar,0,205,Thursday,July
2020-07-24 01:00:00+02:00,24-07-2020,01:00:00,02:00:00,Solar,0,206,Friday,July
2020-07-24 04:00:00+02:00,24-07-2020,04:00:00,05:00:00,Solar,0,206,Friday,July
2020-07-24 05:00:00+02:00,24-07-2020,05:00:00,06:00:00,Solar,0,206,Friday,July
2020-07-24 10:00:00+02:00,24-07-2020,10:00:00,11:00:00,Solar,2708,206,Friday,July
2020-07-24 14:00:00+02:00,24-07-2020,14:00:00,15:00:00,Solar,3851,206,Friday,July
2020-07-24 16:00:00+02:00,24-07-2020,16:00:00,17:00:00,Solar,3261,206,Friday,July
2020-07-24 23:00:00+02:00,24-07-2020,23:00:00,24:00:00,Solar,0,206,Friday,July
2020-07-25 04:00:00+02:00,25-07-2020,04:00:00,05:00:00,Solar,0,207,Saturday,July
2020-07-25 06:00:00+02:00,25-07-2020,06:00:00,07:00:00,Solar,13,207,Saturday,July
2020-07-25 07:00:00+02:00,25-07-2020,07:00:00,08:00:00,Solar,220,207,Saturday,July
2020-07-25 08:00:00+02:00,25-07-2020,08:00:00,09:00:00,Solar,908,207,Saturday,July
2020-07-25 10:00:00+02:00,25-07-2020,10:00:00,11:00:00,Solar,2598,207,Saturday,July
2020-07-25 21:00:00+02:00,25-07-2020,21:00:00,22:00:00,Solar,15,207,Saturday,July
2020-07-25 23:00:00+02:00,25-07-2020,23:00:00,24:00:00,Solar,2,207,Saturday,July
2020-07-26 03:00:00+02:00,26-07-2020,03:00:00,04:00:00,Solar,0,208,Sunday,July
2020-07-26 06:00:00+02:00,26-07-2020,06:00:00,07:00:00,Solar,8,208,Sunday,July
2020-07-26 14:00:00+02:00,26-07-2020,14:00:00,15:00:00,Solar,3301,208,Sunday,July
2020-07-26 16:00:00+02:00,26-07-2020,16:00:00,17:00:00,Solar,3075,208,Sunday,July
2020-07-26 18:00:00+02:00,26-07-2020,18:00:00,19:00:00,Solar,1843,208,Sunday,July
2020-07-26 22:00:00+02:00,26-07-2020,22:00:00,23:00:00,Solar,3,208,Sunday,July
2020-07-26 23:00:00+02:00,26-07-2020,23:00:00,24:00:00,Solar,2,208,Sunday,July
2020-07-27 07:00:00+02:00,27-07-2020,07:00:00,08:00:00,Solar,200,209,Monday,July
2020-07-28 00:00:00+02:00,28-07-2020,00:00:00,01:00:00,Solar,1,210,Tuesday,July
2020-07-28 07:00:00+02:00,28-07-2020,07:00:00,08:00:00,Solar,148,210,Tuesday,July
2020-07-28 21:00:00+02:00,28-07-2020,21:00:00,22:00:00,Solar,16,210,Tuesday,July
2020-07-29 01:00:00+02:00,29-07-2020,01:00:00,02:00:00,Solar,1,211,Wednesday,July
2020-07-29 08:00:00+02:00,29-07-2020,08:00:00,09:00:00,Solar,817,211,Wednesday,July
2020-07-29 09:00:00+02:00,29-07-2020,09:00:00,10:00:00,Solar,1757,211,Wednesday,July
2020-07-29 13:00:00+02:00,29-07-2020,13:00:00,14:00:00,Solar,3811,211,Wednesday,July
2020-07-30 00:00:00+02:00,30-07-2020,00:00:00,01:00:00,Solar,1,212,Thursday,July
2020-07-30 04:00:00+02:00,30-07-2020,04:00:00,05:00:00,Solar,0,212,Thursday,July
2020-07-30 07:00:00+02:00,30-07-2020,07:00:00,08:00:00,Solar,191,212,Thursday,July
2020-07-30 08:00:00+02:00,30-07-2020,08:00:00,09:00:00,Solar,851,212,Thursday,July
2020-07-30 20:00:00+02:00,30-07-2020,20:00:00,21:00:00,Solar,194,212,Thursday,July
2020-07-30 22:00:00+02:00,30-07-2020,22:00:00,23:00:00,Solar,1,212,Thursday,July
2020-07-31 05:00:00+02:00,31-07-2020,05:00:00,06:00:00,Solar,0,213,Friday,July
2020-07-31 11:00:00+02:00,31-07-2020,11:00:00,12:00:00,Solar,3117,213,Friday,July
2020-07-31 13:00:00+02:00,31-07-2020,13:00:00,14:00:00,Solar,3684,213,Friday,July
2020-07-31 15:00:00+02:00,31-07-2020,15:00:00,16:00:00,Solar,3428,213,Friday,July
2020-07-31 18:00:00+02:00,31-07-2020,18:00:00,19:00:00,Solar,1663,213,Friday,July
2020-08-01 02:00:00+02:00,01-08-2020,02:00:00,03:00:00,Wind,2073,214,Saturday,August
2020-08-01 06:00:00+02:00,01-08-2020,06:00:00,07:00:00,Wind,1742,214,Saturday,August
2020-08-01 13:00:00+02:00,01-08-2020,13:00:00,14:00:00,Wind,1185,214,Saturday,August
2020-08-01 14:00:00+02:00,01-08-2020,14:00:00,15:00:00,Wind,1544,214,Saturday,August
2020-08-01 19:00:00+02:00,01-08-2020,19:00:00,20:00:00,Wind,3919,214,Saturday,August
2020-08-02 08:00:00+02:00,02-08-2020,08:00:00,09:00:00,Wind,2603,215,Sunday,August
2020-08-02 16:00:00+02:00,02-08-2020,16:00:00,17:00:00,Wind,3175,215,Sunday,August
2020-08-02 20:00:00+02:00,02-08-2020,20:00:00,21:00:00,Wind,3320,215,Sunday,August
2020-08-02 21:00:00+02:00,02-08-2020,21:00:00,22:00:00,Wind,3164,215,Sunday,August
2020-08-03 04:00:00+02:00,03-08-2020,04:00:00,05:00:00,Wind,1811,216,Monday,August
2020-08-03 05:00:00+02:00,03-08-2020,05:00:00,06:00:00,Wind,1685,216,Monday,August
2020-08-03 07:00:00+02:00,03-08-2020,07:00:00,08:00:00,Wind,1480,216,Monday,August
2020-08-03 21:00:00+02:00,03-08-2020,21:00:00,22:00:00,Wind,3803,216,Monday,August
2020-08-04 06:00:00+02:00,04-08-2020,06:00:00,07:00:00,Wind,1936,217,Tuesday,August
2020-08-04 07:00:00+02:00,04-08-2020,07:00:00,08:00:00,Wind,1650,217,Tuesday,August
2020-08-04 08:00:00+02:00,04-08-2020,08:00:00,09:00:00,Wind,1291,217,Tuesday,August
2020-08-04 15:00:00+02:00,04-08-2020,15:00:00,16:00:00,Wind,1743,217,Tuesday,August
2020-08-04 17:00:00+02:00,04-08-2020,17:00:00,18:00:00,Wind,1722,217,Tuesday,August
2020-08-05 05:00:00+02:00,05-08-2020,05:00:00,06:00:00,Wind,1210,218,Wednesday,August
2020-08-05 07:00:00+02:00,05-08-2020,07:00:00,08:00:00,Wind,1792,218,Wednesday,August
2020-08-05 08:00:00+02:00,05-08-2020,08:00:00,09:00:00,Wind,1432,218,Wednesday,August
2020-08-05 12:00:00+02:00,05-08-2020,12:00:00,13:00:00,Wind,2027,218,Wednesday,August
2020-08-06 03:00:00+02:00,06-08-2020,03:00:00,04:00:00,Wind,1324,219,Thursday,August
2020-08-06 04:00:00+02:00,06-08-2020,04:00:00,05:00:00,Wind,1211,219,Thursday,August
2020-08-06 09:00:00+02:00,06-08-2020,09:00:00,10:00:00,Wind,392,219,Thursday,August
2020-08-06 10:00:00+02:00,06-08-2020,10:00:00,11:00:00,Wind,261,219,Thursday,August
2020-08-06 13:00:00+02:00,06-08-2020,13:00:00,14:00:00,Wind,361,219,Thursday,August
2020-08-06 16:00:00+02:00,06-08-2020,16:00:00,17:00:00,Wind,283,219,Thursday,August
2020-08-06 20:00:00+02:00,06-08-2020,20:00:00,21:00:00,Wind,574,219,Thursday,August
2020-08-07 12:00:00+02:00,07-08-2020,12:00:00,13:00:00,Wind,809,220,Friday,August
2020-08-07 13:00:00+02:00,07-08-2020,13:00:00,14:00:00,Wind,855,220,Friday,August
2020-08-07 14:00:00+02:00,07-08-2020,14:00:00,15:00:00,Wind,708,220,Friday,August
2020-08-07 17:00:00+02:00,07-08-2020,17:00:00,18:00:00,Wind,372,220,Friday,August
2020-08-07 22:00:00+02:00,07-08-2020,22:00:00,23:00:00,Wind,1647,220,Friday,August
2020-08-08 01:00:00+02:00,08-08-2020,01:00:00,02:00:00,Wind,1881,221,Saturday,August
2020-08-08 04:00:00+02:00,08-08-2020,04:00:00,05:00:00,Wind,1303,221,Saturday,August
